Name,Smiles,Active_Probability,Predicted_Class,InDomain
0.9177353,O=c1cc(-c2ccc(O)cc2)oc2c(C[NH+]3CCN(Cc4cccs4)CC3)c(O)cc(O)c12,0.5718,Active,In-Domain
0.981977,Cc1cc(O)c(C(=O)/C=C/c2ccc(O)c(O)c2)cc1C,0.5685,Active,In-Domain
0.95202863,O=C(/C=C/c1ccc(O)c(O)c1)NCCc1ccc(O)c(O)c1,0.5684,Active,In-Domain
0.9943258,Cc1nc2c(C(=O)Nc3ccc([N@H+]4CCC[C@@H](O)C4)cc3)snc2c(=O)[nH]1,0.5681,Active,Out-of-Domain
0.98633343,CCOC(=O)C1=c2s/c(=C/c3ccc(O)cc3)c(=O)n2C(N)=C(C(=O)OC)[C@H]1c1ccc(O)cc1,0.5596,Active,In-Domain
0.9995024,COc1cc(-c2[nH]c(-c3ccc(O)cc3OC)nc2-c2oc(C)cc(=O)c2[O-])ccc1O,0.5529,Active,In-Domain
0.8744095,COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(OC)c3)[C@H]2COC(C)=O)ccc1O,0.5491,Active,In-Domain
0.847763,COc1cc(-c2cc(-c3cc(Br)c(O)c(OC)c3)nn2CCO)ccc1O,0.5476,Active,In-Domain
0.23430096,O=C1C[C@H](c2ccc3ncccc3c2)c2c(cc([O-])c3c(=O)cc(-c4ccc(O)cc4)oc23)O1,0.5449,Active,In-Domain
0.7410642,COc1cc(O)ccc1/C=C/c1cc(O)cc(O)c1,0.5421,Active,In-Domain
0.967371,C/C=C(/C)c1cc(O)c(C)c2c1Oc1c(C)c([O-])cc(/C(C)=C\C)c1C(=O)O2,0.536,Active,Out-of-Domain
0.5662889,Cc1cc(O)cc([O-])c1C(=O)Oc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)[O-])c(O)c2)c(O)c1,0.5309,Active,In-Domain
0.56487995,CC(C)=CCc1cc([C@H]2Oc3cc(O)cc(O)c3C(=O)[C@@H]2[O-])cc(CC=C(C)C)c1O,0.5296,Active,In-Domain
0.9628386,C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)[C@@H]([O-])C2=O,0.5284,Active,In-Domain
0.018123774,COc1cc(-c2nc(-c3ccc(O)c(O)c3)[nH]c2-c2oc(C)cc(=O)c2[O-])ccc1O,0.5242,Active,In-Domain
0.8941485,COc1cc([C@@H]2OC[C@H]3[C@@H]2CO[C@H]3c2cc(OC)c(O)c(OC)c2)cc(OC)c1O,0.5217,Active,In-Domain
0.3585002,C[C@H](O)c1nc2cc(NC(=O)c3cn([C@H]4CC[C@H]([NH3+])CC4)nn3)ccc2[nH]1,0.5196,Active,Out-of-Domain
0.9831456,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2cc(OC)c(O)c(OC)c2)cc(OC)c1O,0.517,Active,In-Domain
0.98259455,COc1cc(-c2[nH]c(-c3ccc(O)c(O)c3)nc2-c2oc(C)cc(=O)c2[O-])ccc1O,0.5139,Active,In-Domain
0.8043949,COc1cc(-c2[nH]c(-c3ccc(O)cc3O)nc2-c2oc(C)cc(=O)c2[O-])ccc1O,0.5128,Active,In-Domain
0.8780448,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CC[NH+](Cc4cccs4)CC3)c([O-])cc(O)c12,0.5123,Active,In-Domain
0.36549044,COc1cc(-c2nc(-c3cn(CC(=O)[O-])c4ncccc34)[nH]c2-c2oc(C)cc(=O)c2[O-])ccc1O,0.5033,Active,Out-of-Domain
0.48956054,[O-]c1cc(O)ccc1-c1csc(Nc2ccc(O)cc2)n1,0.5032,Active,In-Domain
0.8875491,O=C([O-])C[C@@H](C(=O)[O-])c1ccc(OCCCCOc2ccc([C@@H](CC(=O)O)C(=O)[O-])cc2)cc1,0.4993,Inactive,Out-of-Domain
0.94812393,COc1cc([C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2cc(OC)c(O)c(OC)c2)cc(OC)c1O,0.4983,Inactive,In-Domain
0.6935435,COc1cc(-c2nc(-c3ccc(O)cc3O)[nH]c2-c2oc(C)cc(=O)c2[O-])ccc1O,0.4918,Inactive,In-Domain
0.9969663,Cc1cc([O-])c(C(=O)/C=C/c2ccc(O)c(O)c2)cc1C,0.4916,Inactive,In-Domain
0.9156362,COc1ccc(C(=O)N[C@@H]2CO[C@H]3[C@@H]2OC[C@H]3O)cc1Oc1ccc(CN)cc1F,0.4901,Inactive,Out-of-Domain
0.37723318,Oc1ccc(/C=C/c2cc(O)cc3c2[C@@H](c2cc(O)cc(O)c2)[C@H](c2ccc(O)cc2)O3)cc1,0.4866,Inactive,In-Domain
0.069397196,O=C(CCc1ccc(O)cc1)N[C@H]1C[C@H](c2nnc(CO)n2C2CC2)C1,0.4858,Inactive,In-Domain
0.9985398,C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3O)oc12,0.4831,Inactive,In-Domain
