Name,SMILES,MW,LogP,HBD,HBA,RotB,TPSA
NPA000188,COc1c(C)c(C)c2[nH]c3ccccc3c2c1O,241.29,3.652140000000003,2,2,1,45.25
NPA000189,COC1=CC(=O)c2c(O)cc(OC)c(C)c2C1=O,248.23399999999998,1.6185200000000002,1,5,2,72.83000000000001
NPA000190,CCCCCCC[C@H]1C(=O)c2cccc(O)c2[C@@H]1O,262.349,3.598600000000004,2,3,6,57.53
NPA000191,C=C[C@@]1(C)CCC2=C([C@H]1O)[C@H](O)[C@]1(O)OC[C@@]23CCCC(C)(C)[C@@]31O,350.455,1.6508999999999998,4,5,1,90.15
NPA000194,CC1=C2C[C@@]3(C)C[C@H](O)[C@](C)(C[C@H](O)[C@H](O)[C@@](C)(O)CO)[C@H]3c3ccc(C)c(c32)C1,416.5580000000001,2.444320000000002,5,5,5,101.15
NPA000196,COCc1c(CO)cc(O)c(C)c1OC,212.24499999999998,1.3479199999999996,2,4,4,58.92
NPA000199,CC(C)Cc1ncc(CC(C)(C)O)[nH]c1=O,224.30399999999997,1.2817999999999998,2,3,4,65.98
NPA000201,O=C(O)/C=C/C=C/C=C/[C@@]1(O)C=C(NC(=O)/C=C/C=C/C2CCCCC2)C(=O)[C@@H]2O[C@@H]21,425.4810000000001,2.5136000000000007,3,5,8,116.23000000000002
NPA000202,COc1cc(O)c2c(=O)c(OC)c(-c3cccc(Br)c3O)oc2c1OC,423.21500000000003,3.6595000000000013,2,7,4,98.36000000000001
NPA000203,CC[C@H](C)[C@H](O)/C(C)=C/C(C)(O)c1oc(=O)c(C)c(O)c1CO,326.389,1.70692,4,6,6,111.13000000000001
NPA000204,C[C@H]1C(=O)C=C2C[C@@]3(O)C[C@@](C)(CO)C[C@H]3[C@@]21C,250.33799999999994,1.6813,2,3,1,57.53
NPA000207,CCC(C)/C=C(C)/C=C/C(=O)/C=C(\O)C1=C2C3=COC(CC(C)O)=CC3=CC(=O)[C@]2(C)OC1=O,466.5300000000002,4.236100000000003,2,7,8,110.13000000000002
NPA000208,CC1=C(C(=O)O)C(=O)C2c3cc4cccc(O)c4c(O)c3C(=O)CC2(O)C1,368.341,2.026,4,6,1,132.13
NPA000211,CC1=C(C)C(C)(O)OC1=O,142.15399999999997,0.5881000000000001,1,3,0,46.53
NPA000214,COc1ccc2c(c1)NC(=O)[C@@]21C[C@H]2C(=O)N3CCC[C@H]3C(=O)N2[C@H]1C=C(C)C,395.4590000000001,1.8253999999999997,1,4,2,78.95000000000002
NPA000216,CC(C)=CCc1cccc2c1OC(C)(C)[C@@H](O)C2=O,260.33299999999997,2.9099000000000013,1,3,2,46.53
NPA000218,C=C1OC(=O)C(C(=O)CCCC=CCCCCCC)=C1O,292.37499999999994,4.135000000000003,1,4,10,63.60000000000001
NPA000219,C[C@@H]1[C@@H]2C[C@H](C(C=O)=C3CC(C)(C)C[C@@H]31)[C@@H](O)O2,250.33799999999994,2.2913000000000006,1,3,1,46.53
NPA000220,CCC(O)/C=C(\C)c1cc(OC)c(C)c(=O)o1,238.28299999999996,2.13102,1,4,4,59.67
NPA000222,CCCCC(C(=O)c1cc(CC(C)C)c(O)c(C=O)c1O)C1C[C@@H](O)C2(O[C@H]2CC)[C@H](O)O1,464.55500000000023,3.1137000000000024,4,8,10,136.82
NPA000224,C=C1CO[C@H]2[C@H]3C(=O)C[C@H](C(C)C)[C@@]3(C)C[C@@H](OC(C)=O)[C@]3(C)CC(=O)O[C@]123,390.4760000000002,2.8363000000000014,0,6,2,78.9
NPA000227,COC(=O)Cc1cn(C2OC(CO)C(O)C(O)C2O)c2ccccc12,351.35500000000013,-0.6707999999999998,4,8,4,121.38000000000001
NPA000228,CC(/C=C/C(O)=C1/C(=O)CNC1=O)=C\[C@@H](C)[C@H]1O[C@@]2(C)O[C@@H]([C@@H]1C)[C@H](O)[C@H](O)[C@H]2C,421.4900000000002,1.1438000000000001,4,7,4,125.32000000000001
NPA000229,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6OC=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C,477.60500000000025,3.6812000000000022,1,5,0,71.11000000000001
NPA000233,CNc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,251.289,2.6318,2,3,2,57.78
NPA000234,C[C@@H]1C[C@H](C)C(=O)[C@H]2C[C@@H]3[C@@H](O)[C@@H]4O[C@]25C(=C1O)C(=O)O[C@]35C[C@H]4C,348.3950000000001,1.5135,2,6,0,93.06000000000002
NPA000235,COc1cc([C@H]2COC(=O)[C@@H]2O)cc(OC)c1O,254.23799999999997,0.4106999999999999,2,6,3,85.22000000000001
NPA000237,CC(C)=CCC/C(=C\CC[C@]1(C)Oc2c(c(O)cc3c2CNC3=O)C[C@@H]1O)CO,401.50300000000016,3.1354000000000015,4,5,7,99.02000000000001
NPA000239,C=C1[C@@H](O)CC[C@@](CC(=O)c2cc(O)ccc2O)(C(=O)O)[C@H]1O,322.31300000000005,0.8133999999999995,5,6,4,135.29000000000002
NPA000240,CC[C@H](O)C#CCO,114.14399999999998,-0.247,2,2,1,40.46
NPA000241,CC(=O)OC1C(=O)[C@]23[C@H]4OCC5=C4[C@@](C)(CCC5=O)CC[C@]2(C)C1[C@@H](C)[C@@H]3O,388.4600000000001,1.9787000000000003,1,6,1,89.90000000000002
NPA000242,Cc1ccccc1O,108.13999999999999,1.70062,1,1,0,20.23
NPA000243,COC1(C)c2cc(O)c(C(=O)O)c(C)c2C(=O)c2c1ccc(C)c2O,342.347,2.8671400000000014,3,5,2,104.06000000000002
NPA000244,CC(C)=CCc1ccc2c(c1)NC(=O)C2=O,215.25199999999998,2.3301,1,2,2,46.17
NPA000245,CC1=CC(=O)[C@@H]2C(C)(C)CCC[C@@]23[C@H](O)OC[C@@H]13,250.33799999999994,2.2929000000000004,1,3,0,46.53
NPA000246,COc1c(C)c(O)c(C(C)=O)c2c1[C@@]1(C)C(=O)C(C(C)=O)C(=O)C[C@@]1(OC)O2,390.38800000000015,1.6517199999999996,1,8,4,116.2
NPA000247,COC(=O)c1cc(Cl)c(OC)c(Cl)c1,235.06599999999995,2.7886000000000015,0,3,2,35.53
NPA000248,CC(O)C(O)/C=C/c1cocn1,169.17999999999998,0.42950000000000005,2,4,3,66.49000000000001
NPA000249,CC(=O)NCCCCCOC(=O)[C@H](C)O,217.265,0.2168,2,4,7,75.63
NPA000251,O=C1CCC2=C1[C@@H]1CCCO[C@@H]1OC2,194.22999999999996,1.4288,0,3,0,35.53
NPA000252,C/C=C/[C@H]1C=C[C@H](O)[C@@H](O)[C@H]1C(O)C(C)=O,226.272,0.03639999999999988,3,4,3,77.76
NPA000254,Cc1cc2c(C)cccc2[nH]1,145.20499999999998,2.784740000000001,1,0,0,15.79
NPA000255,C/C(=C\c1csc(C)n1)[C@H]1OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)C(C)CCC/C=C\[C@@H]1O,493.6660000000002,3.8470200000000037,3,8,2,116.95000000000002
NPA000256,CC1=CC(=O)/C(=C/c2ccc(O)c(O)c2)O1,218.208,1.9418000000000006,2,4,1,66.76
NPA000257,Cc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@@H](O)[C@@H](O)[C@@H](O)C1,290.27099999999996,-0.13738000000000034,4,6,0,115.06000000000002
NPA000260,COc1cc(-c2ccccc2)nc(/C=N/O)c1SC,274.345,3.2872000000000012,1,5,4,54.71000000000001
NPA000261,C[C@H](O)CCCCC[C@H](O)[C@@H]1C=CC(=O)O1,228.288,1.1602,2,4,7,66.76
NPA000262,C=C1C[C@@H]2OC(=O)[C@@H](C)[C@H]2[C@](C)(CC(=O)O)[C@H]1CC/C(C)=C/C(=O)O,350.4110000000001,3.032300000000001,2,4,6,100.9
NPA000265,CCC1C=C(c2ccc(C)cc2)C(=O)O1,202.25300000000001,2.713820000000001,0,2,2,26.3
NPA000270,C=C1O[C@@H]2C=C(C(=O)OC)C[C@H](O)[C@H]2NC1=O,239.22699999999995,-0.7523000000000002,2,5,1,84.86
NPA000273,CC(=O)[C@@H](C)c1cc(O)cc(O)c1,180.20299999999997,1.7902999999999998,2,3,2,57.53
NPA000274,C[C@H]1CC[C@@]23C1=C[C@@]1(C)CC[C@](C)(C[C@H](O)C(=O)C(C)(O)CO)[C@H]1[C@@H]2CC[C@@H]3C,404.5910000000001,3.874800000000004,3,4,5,77.76
NPA000275,CO[C@]12CCCC[C@@H]1[C@H]1O[C@H](C)[C@@H](C)c3c(C)c(O)c(C(=O)O)c(c31)O2,362.4220000000001,3.887420000000003,2,5,2,85.22
NPA000278,CC(C)[C@H]1C[C@@H](O)[C@H](C)[C@@H]2CC[C@@H](O)[C@@]3(C)O[C@@]123,254.37,1.9579,2,3,1,52.989999999999995
NPA000279,O=C1C[C@@H](O)[C@@H](O)c2cc3c(c(O)c21)COC3,236.22299999999996,0.40310000000000007,3,5,0,86.99000000000001
NPA000280,CC1=CC(=O)[C@H]2C(C)(C)C[C@H](O)C[C@]2(C)[C@H]1CO,252.35399999999996,1.9273,2,3,1,57.53
NPA000281,C[C@]1(CO)[C@@H]2[C@H]3[C@@H](CO)CC[C@H]3[C@](C)(O)C(=O)C[C@@H]21,268.35299999999995,0.5894999999999999,3,4,2,77.76
NPA000282,CC(=O)O[C@H]1[C@@H]2C=C[C@H]3C[C@H](O)C[C@@H]4CC(=O)/C(=C/[C@H]3[C@@H]2C[C@H]1C)C(=O)O4,374.4330000000002,1.9582000000000002,1,6,1,89.9
NPA000285,COC[C@@]1(O)CC[C@@H]2/C1=C\[C@]1(O)C(=C(C(C)C)C(=O)[C@]1(C)OC(C)=O)C[C@H](O)[C@@H]2C,422.51800000000014,1.6891999999999998,3,7,4,113.29000000000002
NPA000286,COc1c(O)cc2c(c1O)CN1C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H]1C2,407.4260000000001,1.5820999999999992,4,5,3,114.89
NPA000290,COC(=O)[C@]12Oc3cccc(O)c3C(O)=C1C(=O)OC=C(C)[C@H]2O,334.2800000000001,0.7869999999999997,3,8,1,122.52000000000001
NPA000291,COc1c(Cl)c(Cl)c(OC)c(Cl)c1Cl,275.946,4.3174,0,2,2,18.46
NPA000292,CC1=CC[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@H]1CO,236.35499999999993,2.956500000000001,1,2,1,37.3
NPA000293,O=Cc1c(O)cc(Cc2ccccc2)[nH]c1=O,229.23499999999999,1.4838,2,3,3,70.16
